name	status	missing	edgeMissing	extra	origOpaque	spriteOpaque	scaledFrom
fas-screwdriver	match	0	0	0	52	52	
fas-seedling	match	0	0	0	66	66	
fas-server	match	0	0	0	131	131	
fas-shapes	match	0	0	0	68	68	
fas-share-alt	match	0	0	0	62	62	
fas-shoe-prints	match	0	0	0	84	84	
fas-shopping-basket	match	0	0	0	123	123	
fas-shopping-cart	match	0	0	0	49	49	
fas-sign-hanging	match	0	0	0	59	59	
fas-skating	match	0	0	0	66	66	
fas-skiing	match	0	0	0	76	76	
fas-skiing-nordic	match	0	0	0	66	66	
fas-sleigh	match	0	0	0	71	71	
fas-smoking	match	0	0	0	78	78	
fas-snowboarding	match	0	0	0	89	89	
fas-solar-panel	match	0	0	0	71	71	
fas-sort-alpha-up	match	0	0	0	87	87	
fas-spa	match	0	0	0	72	72	
fas-space-shuttle	match	0	0	0	70	70	
fas-spoon	match	0	0	0	53	53	
fas-stamp	match	0	0	0	98	98	
fas-store	match	0	0	0	62	62	
fas-store-alt-slash	match	0	0	0	127	127	
fas-suitcase	match	0	0	0	158	158	
fas-suitcase-rolling	match	0	0	0	115	115	
fas-swimmer	match	0	0	0	86	86	
fas-swimming-pool	match	0	0	0	96	96	
fas-synagogue	match	0	0	0	124	124	
fas-table-tennis	match	0	0	0	93	93	
fas-tachometer-alt	match	0	0	0	129	129	
fas-tags	match	0	0	0	100	100	
fas-tape	match	0	0	0	96	96	
fas-taxi	match	0	0	0	127	127	
fas-teeth	match	0	0	0	114	114	
fas-th	match	0	0	0	141	141	
fas-th-list	match	0	0	0	135	135	
fas-thermometer-three-quarters	match	0	0	0	68	68	
fas-ticket-alt	match	0	0	0	123	123	
fas-tint	match	0	0	0	73	73	
fas-tint-slash	match	0	0	0	56	56	
fas-toilet	match	0	0	0	142	142	
fas-tools	match	0	0	0	109	109	
fas-tractor	match	0	0	0	102	102	
fas-tram	match	0	0	0	93	93	
fas-trash-restore	match	0	0	0	121	121	
fas-triangle-exclamation	match	0	0	0	49	49	
fas-trophy	match	0	0	0	97	97	
fas-truck-fast	match	0	0	0	135	135	
fas-truck-loading	match	0	0	0	98	98	
fas-truck-monster	match	0	0	0	108	108	
fas-tshirt	match	0	0	0	100	100	
fas-umbrella-beach	match	0	0	0	59	59	
fas-user-alt	match	0	0	0	112	112	
fas-user-cog	match	0	0	0	116	116	
fas-user-secret	match	0	0	0	98	98	
fas-user-tie	match	0	0	0	80	80	
fas-users	match	0	0	0	93	93	
fas-vector-square	match	0	0	0	109	109	
fas-vest	match	0	0	0	85	85	
fas-vial	match	0	0	0	82	82	
fas-video	match	0	0	0	125	125	
fas-vihara	match	0	0	0	109	109	
fas-volume-up	match	0	0	0	85	85	
fas-vote-yea	match	0	0	0	118	118	
fas-warehouse	match	0	0	0	88	88	
fas-weight	match	0	0	0	105	105	
fas-weight-hanging	match	0	0	0	75	75	
fas-wifi	match	0	0	0	53	53	
fas-wine-bottle	match	0	0	0	80	80	
fas-yin-yang	match	0	0	0	63	63	
fotoshi-atm	match	0	0	0	107	107	
fotoshi-book_return	match	0	0	0	105	105	
fotoshi-cave	match	0	0	0	120	120	
fotoshi-mud	match	0	0	0	127	127	
fotoshi-shipwreck	match	0	0	0	105	105	
iD-boundary	match	0	0	0	63	63	
iD-highway-living-street	match	0	0	0	52	52	
iD-highway-motorway	match	0	0	0	54	54	
iD-highway-motorway-link	match	0	0	0	47	47	
iD-highway-primary	match	0	0	0	53	53	
iD-highway-primary-link	match	0	0	0	43	43	
iD-highway-residential	match	0	0	0	62	62	
iD-highway-secondary	match	0	0	0	46	46	
iD-highway-secondary-link	match	0	0	0	31	31	
iD-highway-service	match	0	0	0	41	41	
iD-highway-steps	match	0	0	0	33	33	
iD-highway-tertiary	match	0	0	0	46	46	
iD-highway-tertiary-link	match	0	0	0	34	34	
iD-highway-trunk	match	0	0	0	58	58	
iD-highway-trunk-link	match	0	0	0	43	43	
iD-highway-unclassified	match	0	0	0	43	43	
iD-icon-line	match	0	0	0	74	74	
iD-icon-point	match	0	0	0	119	119	
iD-multipolygon	match	0	0	0	82	82	
iD-other-line	match	0	0	0	32	32	
iD-pipeline-line	match	0	0	0	41	41	
iD-power-line	match	0	0	0	30	30	
iD-relation	match	0	0	0	43	43	
iD-restriction	match	0	0	0	50	50	
iD-restriction-no-left-turn	match	0	0	0	60	60	
iD-restriction-no-right-turn	match	0	0	0	56	56	
iD-restriction-no-straight-on	match	0	0	0	57	57	
iD-restriction-no-u-turn	match	0	0	0	58	58	
iD-restriction-only-left-turn	match	0	0	0	61	61	
iD-restriction-only-right-turn	match	0	0	0	61	61	
iD-restriction-only-straight-on	match	0	0	0	66	66	
iD-restriction-only-u-turn	match	0	0	0	63	63	
iD-route	match	0	0	0	29	29	
iD-route-detour	match	0	0	0	54	54	
iD-route-master	match	0	0	0	81	81	
iD-waterway-canal	match	0	0	0	42	42	
iD-waterway-ditch	match	0	0	0	38	38	
iD-waterway-river	match	0	0	0	47	47	
maki-aerialway	match	0	0	0	112	112	
maki-airfield	match	0	0	0	99	99	
maki-airport	match	0	0	0	95	95	
maki-alcohol-shop	match	0	0	0	95	95	
maki-american-football	match	0	0	0	86	86	
maki-amusement-park	match	0	0	0	113	113	
maki-animal-shelter	match	0	0	0	107	107	
maki-aquarium	match	0	0	0	112	112	
maki-arrow	match	0	0	0	79	79	
maki-art-gallery	match	0	0	0	84	84	
maki-attraction	match	0	0	0	110	110	
maki-bakery	match	0	0	0	84	84	
maki-bank	match	0	0	0	129	129	
maki-bank-JP	match	0	0	0	79	79	
maki-bar	match	0	0	0	72	72	
maki-barrier	match	0	0	0	105	105	
maki-baseball	match	0	0	0	61	61	
maki-basketball	match	0	0	0	86	86	
maki-bbq	match	0	0	0	96	96	
maki-beach	match	0	0	0	66	66	
maki-beer	match	0	0	0	95	95	
maki-bicycle	match	0	0	0	95	95	
maki-bicycle-share	match	0	0	0	85	85	
maki-blood-bank	match	0	0	0	73	73	
maki-bowling-alley	match	0	0	0	120	120	
maki-bridge	match	0	0	0	85	85	
maki-building	match	0	0	0	60	60	
maki-building-alt1	match	0	0	0	67	67	
maki-bus	match	0	0	0	92	92	
maki-cafe	match	0	0	0	82	82	
maki-campsite	match	0	0	0	83	83	
maki-car	match	0	0	0	88	88	
maki-car-rental	match	0	0	0	97	97	
maki-car-repair	match	0	0	0	95	95	
maki-casino	match	0	0	0	97	97	
maki-castle	match	0	0	0	109	109	
maki-castle-JP	match	0	0	0	81	81	
maki-caution	match	0	0	0	97	97	
maki-cemetery	match	0	0	0	102	102	
maki-cemetery-JP	match	0	0	0	52	52	
maki-charging-station	match	0	0	0	75	75	
maki-cinema	match	0	0	0	88	88	
maki-circle	match	0	0	0	145	145	
maki-circle-stroked	match	0	0	0	84	84	
maki-city	match	0	0	0	79	79	
maki-clothing-store	match	0	0	0	98	98	
maki-college	match	0	0	0	133	133	
maki-college-JP	match	0	0	0	92	92	
maki-commercial	match	0	0	0	85	85	
maki-communications-tower	match	0	0	0	83	83	
maki-confectionery	match	0	0	0	61	61	
maki-construction	match	0	0	0	81	81	
maki-convenience	match	0	0	0	99	99	
maki-cricket	match	0	0	0	62	62	
maki-cross	match	0	0	0	85	85	
maki-dam	match	0	0	0	85	85	
maki-danger	match	0	0	0	116	116	
maki-defibrillator	match	0	0	0	114	114	
maki-dentist	match	0	0	0	115	115	
maki-diamond	match	0	0	0	97	97	
maki-doctor	match	0	0	0	68	68	
maki-dog-park	match	0	0	0	113	113	
maki-drinking-water	match	0	0	0	77	77	
maki-elevator	match	0	0	0	113	113	
maki-embassy	match	0	0	0	76	76	
maki-emergency-phone	match	0	0	0	75	75	
maki-entrance	match	0	0	0	51	51	
maki-entrance-alt1	match	0	0	0	55	55	
maki-farm	match	0	0	0	79	79	
maki-fast-food	match	0	0	0	101	101	
maki-fence	match	0	0	0	74	74	
maki-ferry	match	0	0	0	128	128	
maki-ferry-JP	match	0	0	0	61	61	
maki-fire-station	match	0	0	0	121	121	
maki-fire-station-JP	match	0	0	0	56	56	
maki-fitness-centre	match	0	0	0	47	47	
maki-florist	match	0	0	0	122	122	
maki-fuel	match	0	0	0	107	107	
maki-furniture	match	0	0	0	101	101	
maki-gaming	match	0	0	0	92	92	
maki-garden	match	0	0	0	101	101	
maki-garden-centre	match	0	0	0	80	80	
maki-gate	match	0	0	0	106	106	
maki-gift	match	0	0	0	111	111	
maki-globe	match	0	0	0	84	84	
maki-golf	match	0	0	0	63	63	
maki-grocery	match	0	0	0	107	107	
maki-hairdresser	match	0	0	0	86	86	
maki-harbor	match	0	0	0	126	126	
maki-hardware	match	0	0	0	67	67	
maki-heart	match	0	0	0	144	144	
maki-heliport	match	0	0	0	96	96	
maki-highway-rest-area	match	0	0	0	74	74	
maki-historic	match	0	0	0	103	103	
maki-home	match	0	0	0	114	114	
maki-horse-riding	match	0	0	0	84	84	
maki-hospital	match	0	0	0	69	69	
maki-hospital-JP	match	0	0	0	114	114	
maki-hot-spring	match	0	0	0	104	104	
maki-ice-cream	match	0	0	0	72	72	
maki-industry	match	0	0	0	88	88	
maki-information	match	0	0	0	48	48	
maki-jewelry-store	match	0	0	0	57	57	
maki-karaoke	match	0	0	0	57	57	
maki-landmark	match	0	0	0	66	66	
maki-landmark-JP	match	0	0	0	57	57	
maki-landuse	match	0	0	0	94	94	
maki-laundry	match	0	0	0	115	115	
maki-library	match	0	0	0	122	122	
maki-lift-gate	match	0	0	0	66	66	
maki-lighthouse	match	0	0	0	102	102	
maki-lighthouse-JP	match	0	0	0	85	85	
maki-lodging	match	0	0	0	92	92	
maki-logging	match	0	0	0	73	73	
maki-marker	match	0	0	0	93	93	
maki-marker-stroked	match	0	0	0	58	58	
maki-mobile-phone	match	0	0	0	60	60	
maki-monument	match	0	0	0	73	73	
maki-monument-JP	match	0	0	0	70	70	
maki-mountain	match	0	0	0	88	88	
maki-museum	match	0	0	0	114	114	
maki-music	match	0	0	0	79	79	
maki-natural	match	0	0	0	89	89	
maki-nightclub	match	0	0	0	103	103	
maki-observation-tower	match	0	0	0	94	94	
maki-optician	match	0	0	0	76	76	
maki-paint	match	0	0	0	77	77	
maki-park	match	0	0	0	96	96	
maki-park-alt1	match	0	0	0	69	69	
maki-parking	match	0	0	0	52	52	
maki-parking-garage	match	0	0	0	83	83	
maki-parking-paid	match	0	0	0	86	86	
maki-pharmacy	match	0	0	0	81	81	
maki-picnic-site	match	0	0	0	74	74	
maki-pitch	match	0	0	0	49	49	
maki-place-of-worship	match	0	0	0	107	107	
maki-playground	match	0	0	0	87	87	
maki-police	match	0	0	0	97	97	
maki-police-JP	match	0	0	0	125	125	
maki-post	match	0	0	0	112	112	
maki-post-JP	match	0	0	0	80	80	
maki-prison	match	0	0	0	91	91	
maki-racetrack	match	0	0	0	83	83	
maki-racetrack-boat	match	0	0	0	93	93	
maki-racetrack-cycling	match	0	0	0	105	105	
maki-racetrack-horse	match	0	0	0	84	84	
maki-rail	match	0	0	0	99	99	
maki-rail-light	match	0	0	0	77	77	
maki-rail-metro	match	0	0	0	97	97	
maki-ranger-station	match	0	0	0	99	99	
maki-recycling	match	0	0	0	67	67	
maki-religious-buddhist	match	0	0	0	113	113	
maki-religious-christian	match	0	0	0	63	63	
maki-religious-jewish	match	0	0	0	107	107	
maki-religious-muslim	match	0	0	0	100	100	
maki-religious-shinto	match	0	0	0	82	82	
maki-residential-community	match	0	0	0	67	67	
maki-restaurant	match	0	0	0	89	89	
maki-restaurant-bbq	match	0	0	0	111	111	
maki-restaurant-noodle	match	0	0	0	96	96	
maki-restaurant-pizza	match	0	0	0	90	90	
maki-restaurant-seafood	match	0	0	0	93	93	
maki-restaurant-sushi	match	0	0	0	101	101	
maki-road-accident	match	0	0	0	130	130	
maki-roadblock	match	0	0	0	118	118	
maki-rocket	match	0	0	0	100	100	
maki-school	match	0	0	0	113	113	
maki-school-JP	match	0	0	0	92	92	
maki-scooter	match	0	0	0	76	76	
maki-shelter	match	0	0	0	62	62	
maki-shoe	match	0	0	0	75	75	
maki-shop	match	0	0	0	113	113	
maki-skateboard	match	0	0	0	36	36	
maki-skiing	match	0	0	0	71	71	
maki-slaughterhouse	match	0	0	0	100	100	
maki-slipway	match	0	0	0	69	69	
maki-snowmobile	match	0	0	0	78	78	
maki-soccer	match	0	0	0	72	72	
maki-square	match	0	0	0	121	121	
maki-square-stroked	match	0	0	0	72	72	
maki-stadium	match	0	0	0	89	89	
maki-star	match	0	0	0	98	98	
maki-star-stroked	match	0	0	0	80	80	
maki-suitcase	match	0	0	0	103	103	
maki-swimming	match	0	0	0	92	92	
maki-table-tennis	match	0	0	0	107	107	
maki-teahouse	match	0	0	0	68	68	
maki-telephone	match	0	0	0	66	66	
maki-tennis	match	0	0	0	71	71	
maki-terminal	match	0	0	0	82	82	
maki-theatre	match	0	0	0	120	120	
maki-toilet	match	0	0	0	113	113	
maki-toll	match	0	0	0	78	78	
maki-town	match	0	0	0	89	89	
maki-town-hall	match	0	0	0	109	109	
maki-triangle	match	0	0	0	93	93	
maki-triangle-stroked	match	0	0	0	78	78	
maki-tunnel	match	0	0	0	126	126	
maki-veterinary	match	0	0	0	117	117	
maki-viewpoint	match	0	0	0	64	64	
maki-village	match	0	0	0	91	91	
maki-volcano	match	0	0	0	83	83	
maki-volleyball	match	0	0	0	112	112	
maki-warehouse	match	0	0	0	75	75	
maki-waste-basket	match	0	0	0	105	105	
maki-watch	match	0	0	0	70	70	
maki-water	match	0	0	0	95	95	
maki-waterfall	match	0	0	0	107	107	
maki-watermill	match	0	0	0	116	116	
maki-wetland	match	0	0	0	101	101	
maki-wheelchair	match	0	0	0	103	103	
maki-windmill	match	0	0	0	81	81	
maki-zoo	match	0	0	0	95	95	
roentgen-needleleaved_tree	match	0	0	0	60	60	
roentgen-pole_dancer	match	0	0	0	45	45	
temaki-abseiling	match	0	0	0	47	47	
temaki-accessible_space	match	0	0	0	155	155	
temaki-accounting	match	0	0	0	52	52	
temaki-adit_profile	match	0	0	0	151	151	
temaki-aerialway_pole	match	0	0	0	86	86	
temaki-airport	match	0	0	0	115	115	
temaki-amusement_park	match	0	0	0	52	52	
temaki-anchor_medal	match	0	0	0	109	109	
temaki-antenna	match	0	0	0	103	103	
temaki-anvil	match	0	0	0	80	80	
temaki-anvil_and_hammer	match	0	0	0	102	102	
temaki-app_terminal	match	0	0	0	97	97	
temaki-archery	match	0	0	0	33	33	
temaki-army_tent	match	0	0	0	125	125	
temaki-asterisk	match	0	0	0	165	165	
temaki-atm	match	0	0	0	47	47	
temaki-atm2	match	0	0	0	28	28	
temaki-balance_beam	match	0	0	0	91	91	
temaki-balloon	match	0	0	0	121	121	
temaki-barn	match	0	0	0	134	134	
temaki-beach	match	0	0	0	114	114	
temaki-beauty_salon	match	0	0	0	61	61	
temaki-bench	match	0	0	0	126	126	
temaki-benchmark_disk	match	0	0	0	180	180	
temaki-bicycle_box	match	0	0	0	44	44	
temaki-bicycle_locker	match	0	0	0	120	120	
temaki-bicycle_parked	match	0	0	0	92	92	
temaki-bicycle_rental	match	0	0	0	28	28	
temaki-bicycle_repair	match	0	0	0	54	54	
temaki-bicycle_shed	match	0	0	0	144	144	
temaki-bicycle_structure	match	0	0	0	103	103	
temaki-bicycle_wash	match	0	0	0	14	14	
temaki-bikini	match	0	0	0	124	124	
temaki-billboard	match	0	0	0	123	123	
temaki-binoculars	match	0	0	0	126	126	
temaki-bleachers	match	0	0	0	92	92	
temaki-blind	match	0	0	0	33	33	
temaki-board_bus	match	0	0	0	120	120	
temaki-board_ferry	match	0	0	0	129	129	
temaki-board_gondola_lift	match	0	0	0	132	132	
temaki-board_hanging_rail	match	0	0	0	147	147	
temaki-board_heavy_rail	match	0	0	0	144	144	
temaki-board_light_rail	match	0	0	0	126	126	
temaki-board_monorail	match	0	0	0	137	137	
temaki-board_school_bus	match	0	0	0	133	133	
temaki-board_subway	match	0	0	0	149	149	
temaki-board_train	match	0	0	0	138	138	
temaki-board_train_bullet	match	0	0	0	143	143	
temaki-board_train_diesel	match	0	0	0	149	149	
temaki-board_train_kids	match	0	0	0	123	123	
temaki-board_train_steam	match	0	0	0	131	131	
temaki-board_tram	match	0	0	0	115	115	
temaki-board_transit	match	0	0	0	127	127	
temaki-board_trolleybus	match	0	0	0	128	128	
temaki-boat	match	0	0	0	70	70	
temaki-boat_dry_dock	match	0	0	0	89	89	
temaki-boat_floating	match	0	0	0	93	93	
temaki-boat_ramp	match	0	0	0	49	49	
temaki-boat_rental	match	0	0	0	28	28	
temaki-boat_repair	match	0	0	0	36	36	
temaki-boat_tour	match	0	0	0	33	33	
temaki-boating	match	0	0	0	26	26	
temaki-bollard	match	0	0	0	73	73	
temaki-bollard_row	match	0	0	0	33	33	
temaki-book_store	match	0	0	0	147	147	
temaki-bottles	match	0	0	0	50	50	
temaki-boulder1	match	0	0	0	134	134	
temaki-boulder2	match	0	0	0	135	135	
temaki-boulder3	match	0	0	0	110	110	
temaki-bow_and_arrow	match	0	0	0	128	128	
temaki-bowling	match	0	0	0	127	127	
temaki-bowling_alt1	match	0	0	0	63	63	
temaki-bread	match	0	0	0	80	80	
temaki-brick_trowel	match	0	0	0	74	74	
temaki-bridge	match	0	0	0	101	101	
temaki-briefcase	match	0	0	0	126	126	
temaki-briefcase_asterisk	match	0	0	0	112	112	
temaki-briefcase_bolt	match	0	0	0	119	119	
temaki-briefcase_cross	match	0	0	0	113	113	
temaki-briefcase_info	match	0	0	0	120	120	
temaki-briefcase_shield	match	0	0	0	120	120	
temaki-bubble_tea	match	0	0	0	96	96	
temaki-buffer_stop	match	0	0	0	79	79	
temaki-bulb	match	0	0	0	95	95	
temaki-bulb2	match	0	0	0	59	59	
temaki-bulb3	match	0	0	0	59	59	
temaki-bulldozer	match	0	0	0	118	118	
temaki-bulletin_board	match	0	0	0	132	132	
temaki-bunk_beds	match	0	0	0	113	113	
temaki-bunker	match	0	0	0	117	117	
temaki-bunker_silo	match	0	0	0	72	72	
temaki-buoy	match	0	0	0	90	90	
temaki-bus	match	0	0	0	92	92	
temaki-bus_guided	match	0	0	0	110	110	
temaki-cabin	match	0	0	0	113	113	
temaki-cable	match	0	0	0	32	32	
temaki-cable_device	match	0	0	0	100	100	
temaki-cable_manhole	match	0	0	0	153	153	
temaki-cable_meter	match	0	0	0	82	82	
temaki-cable_shutoff	match	0	0	0	52	52	
temaki-cairn	match	0	0	0	104	104	
temaki-camper_trailer	match	0	0	0	111	111	
temaki-camper_trailer_dump	match	0	0	0	149	149	
temaki-campfire	match	0	0	0	85	85	
temaki-can	match	0	0	0	135	135	
temaki-canoe	match	0	0	0	51	51	
temaki-cape_landform	match	0	0	0	161	161	
temaki-capitol	match	0	0	0	125	125	
temaki-car_dealer	match	0	0	0	40	40	
temaki-car_parked	match	0	0	0	78	78	
temaki-car_pool	match	0	0	0	141	141	
temaki-car_structure	match	0	0	0	97	97	
temaki-car_wash	match	0	0	0	56	56	
temaki-carport	match	0	0	0	138	138	
temaki-casino	match	0	0	0	129	129	
temaki-catering	match	0	0	0	145	145	
temaki-cattle_grid	match	0	0	0	69	69	
temaki-chairlift	match	0	0	0	29	29	
temaki-checkpoint	match	0	0	0	86	86	
temaki-chefs_knife	match	0	0	0	84	84	
temaki-chicane_arrow	match	0	0	0	58	58	
temaki-chimney	match	0	0	0	70	70	
temaki-chocolate	match	0	0	0	114	114	
temaki-cleaver	match	0	0	0	109	109	
temaki-cliff_falling_rocks	match	0	0	0	117	117	
temaki-climbing	match	0	0	0	40	40	
temaki-clock	match	0	0	0	113	113	
temaki-cloth	match	0	0	0	74	74	
temaki-clothes_hanger	match	0	0	0	109	109	
temaki-coffee	match	0	0	0	170	170	
temaki-compass	match	0	0	0	35	35	
temaki-conveyor	match	0	0	0	132	132	
temaki-cooling_tower	match	0	0	0	157	157	
temaki-cooling_tower_radiation	match	0	0	0	149	149	
temaki-coral_reef	match	0	0	0	145	145	
temaki-courthouse	match	0	0	0	24	24	
temaki-crane	match	0	0	0	96	96	
temaki-cross_country_skiing	match	0	0	0	42	42	
temaki-crossing_markings-dashes	match	0	0	0	40	40	
temaki-crossing_markings-dots	match	0	0	0	12	12	
temaki-crossing_markings-ladder	match	0	0	0	30	30	
temaki-crossing_markings-ladder_paired	match	0	0	0	30	30	
temaki-crossing_markings-ladder_skewed	match	0	0	0	30	30	
temaki-crossing_markings-lines	match	0	0	0	30	30	
temaki-crossing_markings-lines_paired	match	0	0	0	15	15	
temaki-crossing_markings-surface	match	0	0	0	32	32	
temaki-crossing_markings-zebra	match	0	0	0	27	27	
temaki-crossing_markings-zebra_bicolour	match	0	0	0	27	27	
temaki-crossing_markings-zebra_double	match	0	0	0	32	32	
temaki-crossing_markings-zebra_paired	match	0	0	0	18	18	
temaki-crossing_rail_rail	match	0	0	0	83	83	
temaki-crossing_rail_road	match	0	0	0	97	97	
temaki-crossing_rail_solid	match	0	0	0	101	101	
temaki-crossing_rail_striped	match	0	0	0	99	99	
temaki-crossing_tram_road	match	0	0	0	84	84	
temaki-crossing_tram_solid	match	0	0	0	90	90	
temaki-crossing_tram_striped	match	0	0	0	90	90	
temaki-curtains	match	0	0	0	124	124	
temaki-cycle_barrier	match	0	0	0	68	68	
temaki-cyclist_crosswalk	match	0	0	0	90	90	
temaki-dagger	match	0	0	0	93	93	
temaki-desk_lamp	match	0	0	0	74	74	
temaki-detergent_bottle	match	0	0	0	22	22	
temaki-diamond	match	0	0	0	88	88	
temaki-dice	match	0	0	0	132	132	
temaki-disc_golf_basket	match	0	0	0	119	119	
temaki-diving	match	0	0	0	30	30	
temaki-dog_shelter	match	0	0	0	105	105	
temaki-domed_tower	match	0	0	0	76	76	
temaki-donut	match	0	0	0	184	184	
temaki-drag_lift	match	0	0	0	45	45	
temaki-dress	match	0	0	0	111	111	
temaki-drink_cup	match	0	0	0	97	97	
temaki-ear	match	0	0	0	97	97	
temaki-egg	match	0	0	0	145	145	
temaki-electronic	match	0	0	0	114	114	
