Filename,Error Type,Detail
"fas-directions.svg","VIEWBOX_MISMATCH","Path coordinates (-216.0, -216.0) to (227.7, 280.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-dolly.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -96.0) to (417.7, 352.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-door-closed.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (416.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-door-open.svg","VIEWBOX_MISMATCH","Path coordinates (-179.9, -64.0) to (512.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-dove.svg","VIEWBOX_MISMATCH","Path coordinates (-157.2, -219.3) to (512.0, 400.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-drafting-compass.svg","VIEWBOX_MISMATCH","Path coordinates (-119.9, -84.0) to (440.6, 510.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-dragon.svg","VIEWBOX_MISMATCH","Path coordinates (-113.1, -48.0) to (640.0, 538.5) extend outside viewBox (0, 0) to (15, 15)"
"fas-drumstick-bite.svg","VIEWBOX_MISMATCH","Path coordinates (-112.0, -60.0) to (336.0, 494.5) extend outside viewBox (0, 0) to (15, 15)"
"fas-dumbbell.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -32.0) to (416.0, 544.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-dumpster-fire.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -159.8) to (640.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-dumpster.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -32.0) to (448.0, 549.2) extend outside viewBox (0, 0) to (15, 15)"
"fas-dungeon.svg","VIEWBOX_MISMATCH","Path coordinates (-77.3, -68.6) to (464.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-eye.svg","VIEWBOX_MISMATCH","Path coordinates (-288.0, -131.1) to (433.5, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-film.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (448.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-fire-extinguisher.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -160.0) to (512.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-fish.svg","VIEWBOX_MISMATCH","Path coordinates (-155.5, -64.0) to (452.3, 432.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-flask.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -171.0) to (512.0, 378.6) extend outside viewBox (0, 0) to (15, 15)"
"fas-frog.svg","VIEWBOX_MISMATCH","Path coordinates (-146.9, -105.7) to (544.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-futbol.svg","VIEWBOX_MISMATCH","Path coordinates (-71.6, -325.7) to (417.3, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-gavel.svg","VIEWBOX_MISMATCH","Path coordinates (-152.0, -120.0) to (330.6, 298.7) extend outside viewBox (0, 0) to (15, 15)"
"fas-guitar.svg","VIEWBOX_MISMATCH","Path coordinates (-131.0, -131.0) to (465.0, 464.5) extend outside viewBox (0, 0) to (15, 15)"
"fas-hammer.svg","VIEWBOX_MISMATCH","Path coordinates (-88.0, -58.6) to (503.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-handshake.svg","VIEWBOX_MISMATCH","Path coordinates (-134.2, -123.0) to (544.0, 544.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hashtag.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -128.0) to (347.1, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hat-cowboy-side.svg","VIEWBOX_MISMATCH","Path coordinates (-144.7, -134.6) to (544.0, 562.4) extend outside viewBox (0, 0) to (15, 15)"
"fas-helmet-safety.svg","VIEWBOX_MISMATCH","Path coordinates (-125.1, -198.6) to (480.0, 544.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hiking.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -346.0) to (480.0, 488.1) extend outside viewBox (0, 0) to (15, 15)"
"fas-horse.svg","VIEWBOX_MISMATCH","Path coordinates (-75.7, -72.5) to (480.0, 560.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hospital-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-48.0, -48.0) to (592.0, 560.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hot-tub-person.svg","VIEWBOX_MISMATCH","Path coordinates (-89.2, -96.0) to (448.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hotdog.svg","VIEWBOX_MISMATCH","Path coordinates (-352.0, -352.0) to (495.0, 495.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-hotel.svg","VIEWBOX_MISMATCH","Path coordinates (-72.2, -93.0) to (480.0, 464.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-house-damage.svg","VIEWBOX_MISMATCH","Path coordinates (-85.5, -67.3) to (575.8, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-house-fire.svg","VIEWBOX_MISMATCH","Path coordinates (-179.4, -160.0) to (512.0, 640.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-i-cursor.svg","VIEWBOX_MISMATCH","Path coordinates (-85.4, -63.8) to (288.0, 482.7) extend outside viewBox (0, 0) to (15, 15)"
"fas-ice-cream.svg","VIEWBOX_MISMATCH","Path coordinates (-48.0, -48.0) to (497.7, 368.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-jar.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (256.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-key.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -176.0) to (448.0, 391.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-laptop.svg","VIEWBOX_MISMATCH","Path coordinates (-76.8, -64.0) to (563.2, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-leaf.svg","VIEWBOX_MISMATCH","Path coordinates (-291.4, -71.4) to (448.0, 455.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-life-ring.svg","VIEWBOX_MISMATCH","Path coordinates (-111.2, -157.3) to (448.0, 467.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-lock.svg","VIEWBOX_MISMATCH","Path coordinates (-80.0, -80.0) to (448.0, 304.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-long-arrow-alt-right.svg","VIEWBOX_MISMATCH","Path coordinates (-144.0, -136.0) to (334.5, 414.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-mail-bulk.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -32.0) to (496.0, 576.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-map-signs.svg","VIEWBOX_MISMATCH","Path coordinates (-48.0, -48.0) to (480.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-map.svg","VIEWBOX_MISMATCH","Path coordinates (-15.1, -22.3) to (480.8, 543.1) extend outside viewBox (0, 0) to (15, 15)"
"fas-medkit.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (480.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-microchip.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (448.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-microphone.svg","VIEWBOX_MISMATCH","Path coordinates (-174.4, -128.0) to (430.4, 464.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-mobile-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (304.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-moped.svg","VIEWBOX_MISMATCH","Path coordinates (-25.2, -31.6) to (88.7, 91.6) extend outside viewBox (0, 0) to (122.88, 85.49)"
"fas-mosque.svg","VIEWBOX_MISMATCH","Path coordinates (-86.1, -49.2) to (512.0, 608.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-motorcycle.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -128.0) to (391.7, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-music.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -96.0) to (499.1, 432.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-newspaper.svg","VIEWBOX_MISMATCH","Path coordinates (-80.0, -80.0) to (448.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-paint-roller.svg","VIEWBOX_MISMATCH","Path coordinates (-80.0, -96.0) to (352.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-paperclip.svg","VIEWBOX_MISMATCH","Path coordinates (-231.6, -231.6) to (364.2, 184.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-pen-ruler.svg","VIEWBOX_MISMATCH","Path coordinates (-104.0, -104.0) to (496.0, 496.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-people-carry.svg","VALID","No issues found"
"fas-pepper-hot.svg","VIEWBOX_MISMATCH","Path coordinates (-43.3, -55.8) to (512.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-person-arrow-up-from-line.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -97.0) to (598.6, 608.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-person-booth.svg","VIEWBOX_MISMATCH","Path coordinates (-41.6, -54.0) to (512.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-phone-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-448.0, -160.7) to (512.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-pills.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -160.0) to (480.0, 554.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-plane-departure.svg","VIEWBOX_MISMATCH","Path coordinates (-112.0, -32.0) to (608.0, 645.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-plane.svg","VIEWBOX_MISMATCH","Path coordinates (-116.6, -171.6) to (482.3, 495.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-plate-wheat.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -98.4) to (484.2, 502.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-plug-circle-bolt.svg","VIEWBOX_MISMATCH","Path coordinates (-288.0, -225.0) to (488.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-plug.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -32.0) to (412.8, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-plus.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -32.0) to (288.0, 432.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-print.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (384.0, 432.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-procedures.svg","VIEWBOX_MISMATCH","Path coordinates (-144.0, -160.0) to (524.0, 544.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-puzzle-piece.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (464.0, 352.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-question.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -128.0) to (320.0, 320.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-rocket.svg","VIEWBOX_MISMATCH","Path coordinates (-111.4, -88.5) to (483.9, 384.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-rotate.svg","VIEWBOX_MISMATCH","Path coordinates (-225.3, -315.8) to (463.5, 472.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-running.svg","VIEWBOX_MISMATCH","Path coordinates (-82.7, -100.4) to (384.0, 362.7) extend outside viewBox (0, 0) to (15, 15)"
"fas-satellite-dish.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -128.0) to (512.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-school.svg","VIEWBOX_MISMATCH","Path coordinates (-176.0, -64.0) to (512.0, 592.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-screwdriver.svg","VIEWBOX_MISMATCH","Path coordinates (-112.0, -112.0) to (465.0, 408.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-seedling.svg","VIEWBOX_MISMATCH","Path coordinates (-194.2, -139.3) to (512.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-server.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (352.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-shapes.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -256.0) to (512.0, 456.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-share-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -96.0) to (352.0, 224.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-shoe-prints.svg","VIEWBOX_MISMATCH","Path coordinates (-176.0, -128.0) to (480.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-shopping-basket.svg","VIEWBOX_MISMATCH","Path coordinates (-32.4, -48.5) to (544.0, 430.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-shopping-cart.svg","VIEWBOX_MISMATCH","Path coordinates (-412.7, -52.2) to (572.6, 512.0) extend outside viewBox (0, 0) to (640, 512)"
"fas-sign-hanging.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -352.0) to (448.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-skating.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -86.9) to (352.0, 478.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-skiing-nordic.svg","VIEWBOX_MISMATCH","Path coordinates (-179.3, -257.6) to (464.0, 504.0) extend outside viewBox (0, 0) to (15, 15)"
